,Company name,Job title,Working model,Job Type,Required Experience ,Salary
104,Adaptive Enterprise Ltd.,QA Engineer,On Site,Full time,Less than 2 years ,18k-30k
105,Red Technology LTD,Backend Developer,Remote,Full time,Less than 2 years ,Negotiable
106,Red Technology LTD,REACT INTERN,Remote,Full time,Fresher,Negotiable
107,Evident BD Ltd.,Junior Software Engineer (Backend Python),On Site,Full time,Less than 2 years ,Negotiable
108,Epic Virtual Solution,Sr. PHP Developer,Remote,Full time,More than 4 years,110k-140k
109,NEXT SOLUTION LAB,Senior AI Engineer,On Site,Full time,More than 3 years,60k-90k
110,Kolpolok Limited,C++ Developer,On Site,Full time,Less than 2 years ,40k-80k
111,Urban IT Solution,Software Engineer Intern,On Site,Full time,Fresher,7k-10k
112,Perky Rabbit Corporation Ltd,Internship (ASP.NET),On Site,Full time,Fresher,7k
113,Urban IT Solution,Software Engineer,On Site,Full time,Less than 2 years ,25k
114,Q3Aurelia Sdn Bhd,Software Engineer (C# Developer),Remote,Full time,More than 3 years,Negotiable
115, Kolpolok Limited,Odoo Developer,On Site,Full time,More than 4 years,Negotiable
116,Mediusware Ltd.,UX Researcher,On Site,Full time,Less than 2 years ,20k-40k
117,Make Hub,WordPress Developer,On Site,Full time,Less than 2 years ,40k-80k
118,Ollyo,React JS Developer ,On Site,Full time,Fresher,25k-30k
119,bdCalling IT Ltd,Front-End Developer,On Site,Full time,Fresher,18.5k - 22.5k
120,CloudApper Inc.,Solution Specialists,On Site,Full time,Less than 2 years ,Negotiable
121,Adfinix,Growth Hacker,On Site,Full time,Less than 2 years ,Negotiable
122,Softcode Digital Solution,Web Developer,Remote,Full time,Less than 2 years ,Negotiable
123,Softcode Digital Solution,WordPress Developer,Remote,Full time,Less than 2 years ,Negotiable
124,REPLIQ,Junior Backend Developer - Django,On Site,Full time,Less than 2 years ,70k-90k
125,Wizard Software & Technology Bangladesh Ltd.,Flutter Developer,On Site,Full time,Less than 2 years ,Negotiable
126,NexilCore Technologies,Full Stack Software Engineer (TypeScript/React/Node.js),Remote,Full time,Less than 2 years ,Negotiable
127,Webtricker Web Design & Development Agency,Shopify Expert Developer,Remote,Full time,More than 3 years,Negotiable
128,CloudApper Inc.,Senior Software Engineer (Back-End),On Site,Full time,More than 2 years,60k-150k
129,CloudApper Inc.,Software Developer (Angular),On Site,Full time,More than 2 years,50k-150k
130,CloudApper Inc.,Solution Specialist,On Site,Full time,Less than 2 years ,Negotiable
131,CloudApper Inc.,Digital Marketing Analyst,On Site,Full time,Less than 2 years ,30k-50k
132,CloudApper Inc.,Quality Assurance Engineer,On Site,Full time,More than 2 years,35k-50k
133,Webtricker Web Design & Development Agency,Senior Laravel Expert,On Site,Full time,Less than 2 years ,Negotiable
134,Orangetoolz,Sr. Engineer (Front end - React),On Site,Full time,More than 6 years,Negotiable
135,BITLOGIC LABS,Web Developer (MERN Stack),Remote,Full time,Less than 2 years ,Negotiable
136,InfoDigita Technologies,Flutter Expert,Remote,Full time,Less than 2 years ,40k-85k
137,Spacecats,DevOps Engineer,Remote,Full time,Less than 2 years ,80k-120k
138,Care Me Global Company,Angular Developer,On Site,Full time,Less than 2 years ,35k
139,Zhejiang Liangxian Network Technology,Senior ML/AI Engineer,On Site,Full time,Less than 2 years ,80k-200k
140,Zhejiang Liangxian Network Technology,Junior ML/AI Engineer,On Site,Full time,Less than 2 years ,40k-70k
141,6amTech,Software Engineer (Laravel),On Site,Full time,More than 4 years,50k-80k
142,𝗧𝗲𝗸𝗮𝗿𝘀𝗵,Software Engineer,Hybrid,Full time,Less than 2 years ,100k
143,Red Dox Software,Full Stack Developer (PHP Laravel (Backend) with Vu.js Frontend Developer),On Site,Full time,More than 2 years,30k-50k
144,Codeboxr,WordPress Intern Developer,On Site,Full time,Fresher,0k-15k
145,Electronic First,Front-end Developer,Remote,Full time,More than 2 years,50k-80k
146,Cityscape International Limited,Flutter Developer,On Site,Full time,More than 2 years,45k-50k
147,Mediusware Ltd.,"Software Engineer (PHP, Laravel)",On Site,Full time,More than 2 years,30k-50k
148,Mediusware Ltd.,UX Researcher,On Site,Full time,Less than 2 years ,20k-40k
149,Shakti Foundation,Senior Software Engineer,On Site,Full time,More than 5 years,8k-100k
150,Evident BD,Junior Software Engineer (Backend Python),On Site,Full time,Less than 2 years ,25k
151,ITECH SOFT SOLUTIONS,Digital Marketer,On Site,Full time,More than 2 years,25k-50k
152,Spacecats,DevOps Engineer,Remote,Full time,Less than 2 years ,80k-120k
153,CloudApper,Software Developers (Angular),On Site,Full time,Less than 2 years ,50k-150k
154,Binary Fusion,PHP Programmers,On Site,Full time,More than 3 years,Negotiable
155,EchoLogyx,.NET CORE DEVELOPER,On Site,Full time,Less than 2 years ,Negotiable
156,Onesttech Software Solution LLC,Sr. Laravel Developer,On Site,Full time,More than 2 years,30k-60k
157,MicroDeft,Envato expert,On Site,Full time,More than 2 years,Negotiable
